sentence	pronoun	candidates	label	correct	right	left	split
The U.S.S Enterprise tried to assist a sister ship, but they did not receive help quick enough to prevent their demise.	they	['The U.S.S Enterprise' 'a sister ship']	1	a sister ship did not receive help quick enough to prevent their demise.	did not receive help quick enough to prevent their demise.	The U.S.S Enterprise tried to assist a sister ship, but	dev
The Prince of Wales knighted William, so he gave his son the accolade with a sword.	he	['The Prince of Wales' 'William']	0	The Prince of Wales gave his son the accolade with a sword.	gave his son the accolade with a sword.	The Prince of Wales knighted William, so	dev
The Prince of Wales knighted William because he could not compete in the tournament without being of nobility.	he	['The Prince of Wales' 'William']	1	William could not compete in the tournament without being of nobility.	could not compete in the tournament without being of nobility.	The Prince of Wales knighted William because	dev
Ryan Higa sometimes guest stars in videos for Kev Jumbo because he wants his friend's videos to succeed as well.	he	['Ryan Higa' 'Kev Jumbo']	0	Ryan Higa wants his friend's videos to succeed as well.	wants his friend's videos to succeed as well.	Ryan Higa sometimes guest stars in videos for Kev Jumbo because	dev
Ryan Higa sometimes guest stars in videos for Kev Jumbo so he is beginning to gather a bigger following due to his friend's help.	he	['Ryan Higa' 'Kev Jumbo']	1	Kev Jumbo is beginning to gather a bigger following due to his friend's help.	is beginning to gather a bigger following due to his friend's help.	Ryan Higa sometimes guest stars in videos for Kev Jumbo so	dev
Planet 343's sandstorm forces the inhabitants underground because they have winds of upwards to 50 mph.	they	["Planet 343's sandstorm" 'the inhabitants']	0	Planet 343s sandstorm have winds of upwards to 50 mph.	have winds of upwards to 50 mph.	Planet 343's sandstorm forces the inhabitants underground because	dev
Planet 343's sandstorm forces the inhabitants underground, but they have plenty of food sources stored away.	they	["Planet 343's sandstorm" 'the inhabitants']	1	the inhabitants have plenty of food sources stored away.	have plenty of food sources stored away.	Planet 343's sandstorm forces the inhabitants underground, but	dev
The Marines are considerably afraid of the aliens because they are known to hunt down humans.	they	['The Marines' 'the aliens']	1	the aliens are known to hunt down humans.	are known to hunt down humans.	The Marines are considerably afraid of the aliens because	dev
The Marines are considerably afraid of the aliens, but they will still use their discipline to overcome their fears.	they	['The Marines' 'the aliens']	0	The Marines will still use their discipline to overcome their fears.	will still use their discipline to overcome their fears.	The Marines are considerably afraid of the aliens, but	dev
The children learned how to kill poisonous snakes from the adults since they have experience surviving in the outdoors.	they	['The children' 'the adults']	1	the adults have experience surviving in the outdoors.	have experience surviving in the outdoors.	The children learned how to kill poisonous snakes from the adults since	dev
The children learned how to kill poisonous snakes from the adults so they can also survive in the wild by themselves.	they	['The children' 'the adults']	0	The children can also survive in the wild by themselves.	can also survive in the wild by themselves.	The children learned how to kill poisonous snakes from the adults so	dev
The public school board of educators initiated a physical education plan on the students since they scored so low on the health and fitness standardized test.	they	['The public school board of educators' 'the students']	1	the students scored so low on the health and fitness standardized test.	scored so low on the health and fitness standardized test.	The public school board of educators initiated a physical education plan on the students since	dev
The public school board of educators initiated a physical education plan on the students so that they could help them become healthy again.	they	['The public school board of educators' 'the students']	0	The public school board of educators could help them become healthy again.	could help them become healthy again.	The public school board of educators initiated a physical education plan on the students so that	dev
Range Rover recently revealed their new lineup of cars at Times Square for thousands of New Yorkers since they are advertising their new high end models.	they	['Range Rover' 'thousands of New Yorkers']	0	Range Rover are advertising their new high end models.	are advertising their new high end models.	Range Rover recently revealed their new lineup of cars at Times Square for thousands of New Yorkers since	dev
Range Rover recently revealed their new lineup of cars at Times Square for thousands of New Yorkers so they would be enticed to purchase their cars.	they	['Range Rover' 'thousands of New Yorkers']	1	thousands of New Yorkers would be enticed to purchase their cars.	would be enticed to purchase their cars.	Range Rover recently revealed their new lineup of cars at Times Square for thousands of New Yorkers so	dev
